conjunto,metrica,iteracao,valor
learn,Logloss,520,0.004013042211208979
learn,Logloss,521,0.004010532847424519
learn,Logloss,522,0.0040080306749008246
learn,Logloss,523,0.004006423106431219
learn,Logloss,524,0.004005875983985314
learn,Logloss,525,0.004005212624476852
learn,Logloss,526,0.004003849589284326
learn,Logloss,527,0.00400198548255054
learn,Logloss,528,0.003999098431005753
learn,Logloss,529,0.003991984545485056
learn,Logloss,530,0.00399087686145953
learn,Logloss,531,0.00398722451606955
learn,Logloss,532,0.003986604958552244
learn,Logloss,533,0.003985023415470668
learn,Logloss,534,0.00398425059556354
learn,Logloss,535,0.003983896376493182
learn,Logloss,536,0.003978172133206225
learn,Logloss,537,0.003977474895815266
learn,Logloss,538,0.00397696999015055
learn,Logloss,539,0.003974381117897447
learn,Logloss,540,0.003972404274685945
learn,Logloss,541,0.0039707535552938635
learn,Logloss,542,0.003970252410562012
learn,Logloss,543,0.0039698224450648864
learn,Logloss,544,0.003969163678180436
learn,Logloss,545,0.003965284657728358
learn,Logloss,546,0.003949529822013934
learn,Logloss,547,0.003946593817190963
learn,Logloss,548,0.003946080323749082
learn,Logloss,549,0.0039431261641383625
learn,Logloss,550,0.003942121426646511
learn,Logloss,551,0.003941391465101157
learn,Logloss,552,0.003940680184022455
learn,Logloss,553,0.003940014836686818
learn,Logloss,554,0.00393835122216768
learn,Logloss,555,0.003934732025437906
learn,Logloss,556,0.003931440561944109
learn,Logloss,557,0.003930283589570932
learn,Logloss,558,0.003926088914377378
learn,Logloss,559,0.003917266238350277
learn,Logloss,560,0.003916664891305367
learn,Logloss,561,0.003916257070731579
learn,Logloss,562,0.003914605460220839
learn,Logloss,563,0.0039127542179322955
learn,Logloss,564,0.0039120945858593876
learn,Logloss,565,0.003908631161753733
learn,Logloss,566,0.0039003466754439753
learn,Logloss,567,0.003898795853540144
learn,Logloss,568,0.0038901850053451297
learn,Logloss,569,0.0038813582519930173
learn,Logloss,570,0.0038787000852400907
learn,Logloss,571,0.003877173568925898
learn,Logloss,572,0.0038744092006933423
learn,Logloss,573,0.003873244461807091
learn,Logloss,574,0.0038706403028793213
learn,Logloss,575,0.0038679858516304034
learn,Logloss,576,0.0038666712087039447
learn,Logloss,577,0.0038644131785544903
learn,Logloss,578,0.0038616568505981464
learn,Logloss,579,0.0038597530894413376
learn,Logloss,580,0.003846712132780424
learn,Logloss,581,0.0038419254403497193
learn,Logloss,582,0.003837645858816455
learn,Logloss,583,0.003832458654349453
learn,Logloss,584,0.0038305320111906575
learn,Logloss,585,0.003827714855630694
learn,Logloss,586,0.0038253688739169787
learn,Logloss,587,0.003824214470055846
learn,Logloss,588,0.003820036854022887
learn,Logloss,589,0.003816935527363584
learn,Logloss,590,0.0038162480815848057
learn,Logloss,591,0.0038142235007090543
learn,Logloss,592,0.0038136562220693407
learn,Logloss,593,0.0038122913939582907
learn,Logloss,594,0.0038093885339607553
learn,Logloss,595,0.0038077770937702273
learn,Logloss,596,0.003805991697908394
learn,Logloss,597,0.003804145815542711
learn,Logloss,598,0.003801533725178284
learn,Logloss,599,0.0037990591045936974
learn,Logloss,600,0.0037932368476874356
learn,Logloss,601,0.003790513349939612
learn,Logloss,602,0.003789168472785228
learn,Logloss,603,0.0037875730459668243
learn,Logloss,604,0.0037858072323144814
learn,Logloss,605,0.0037823667300499334
learn,Logloss,606,0.0037800227303249646
learn,Logloss,607,0.0037775592883023215
learn,Logloss,608,0.003774190695075537
learn,Logloss,609,0.003773688810103135
learn,Logloss,610,0.00377161860990125
learn,Logloss,611,0.0037694396345377868
